NORTHING,EASTING,AZIMUTH,DIP,BO_GAIN
1668.6,2332.7,267.8,84.01,43.3582
1492.2,1825.1,272.29,82.65,43.131
1668.2,749.5,92.46,81.5,42.9224
1492.6,1301.0,87.28,81.81,42.7154
1710.5,1420.5,97.51,79.62,41.5582
1511.8,1527.1,84.29,78.97,40.7063
571.1,1932.6,274.13,86.7,39.9881
540.2,1336.6,84.11,88.78,39.4636
727.5,1023.5,93.87,85.49,38.99
494.0,1626.4,69.96,77.75,36.7444
1516.8,2225.8,270.97,74.69,36.5934
562.8,1820.3,81.12,67.43,34.0713
562.3,1283.9,278.44,67.97,33.5473
732.9,1847.7,98.7,74.81,33.0271
1678.6,1954.5,108.19,77.8,31.5223
1670.3,1798.3,258.31,68.83,31.1413
1430.1,1491.4,286.44,79.15,30.8057
675.4,1635.3,252.51,72.08,30.0898
743.7,2525.9,262.0,86.32,29.7104
676.4,445.0,98.92,83.61,29.6975
1473.0,2604.6,279.14,75.35,29.0154
1429.7,1656.5,73.12,85.31,28.9565
1669.9,1261.9,101.25,65.62,28.4884
1473.5,324.1,80.42,89.11,28.446
797.9,1209.2,113.82,82.49,26.7754
485.6,2122.4,284.77,68.79,26.7668
1626.1,1695.6,92.9,69.62,26.3026
579.9,605.6,82.09,85.63,26.2022
1625.7,1518.2,266.66,64.83,26.1561
499.4,1968.2,66.36,55.83,25.6132
451.8,818.7,70.4,73.37,24.9397
732.5,1322.2,260.86,60.59,24.877
394.3,1795.6,61.08,75.81,24.2579
698.7,2298.4,246.18,75.95,23.8243
707.0,1457.2,265.52,56.67,23.2179
619.5,1727.1,260.42,59.11,23.1414
499.0,1092.0,293.2,49.57,22.4346
526.9,2279.2,266.92,65.82,21.8199
1770.0,1623.6,243.28,70.55,21.0226
671.2,1987.4,87.1,41.94,20.666
1628.8,551.9,107.71,63.86,19.8086
1757.9,1385.9,250.75,69.45,18.6263
719.8,2226.2,91.19,53.72,17.9139
539.6,899.9,311.97,35.68,17.7691
1722.4,317.9,111.27,73.39,17.4798
1573.6,2132.6,90.26,51.84,17.2119
422.2,418.0,71.72,84.14,17.15
1167.4,2630.0,311.92,88.32,16.9681
915.1,372.7,123.93,75.5,16.8703
408.1,1205.8,73.3,76.44,16.5766
1452.2,2153.9,66.97,73.74,15.8412
1322.1,1238.6,49.39,74.33,14.6454
688.7,2709.5,272.2,59.43,13.8244
1190.1,1091.7,44.08,83.84,13.4742
1313.8,1109.8,304.28,79.54,12.7889
994.8,1817.5,232.65,88.46,11.986
245.8,587.2,46.67,79.73,11.9634
852.2,950.2,132.28,74.31,11.6199
1115.1,1571.2,325.68,82.38,11.5345
1141.6,918.7,353.58,87.06,11.4352
1310.2,149.1,58.14,80.56,11.2134
187.9,1786.7,40.96,80.42,10.8137
966.6,1601.4,221.97,80.68,10.6758
788.2,266.9,104.9,56.83,9.94
134.5,471.4,164.71,86.04,8.9668
250.0,2810.8,315.44,76.48,8.9363
260.4,1483.9,34.8,81.27,8.7754
893.2,801.2,110.87,82.32,8.4575
544.6,2859.2,289.82,70.77,8.0684
1398.4,2765.6,291.01,65.14,6.9797
1800.8,2721.1,269.12,73.21,6.6263
227.9,2773.2,156.27,35.89,6.0035
1783.9,466.9,281.73,82.2,5.2304
221.2,285.0,45.18,62.37,5.1935
292.1,204.2,179.3,37.62,5.1799
450.2,2920.5,188.88,46.01,4.4971
295.9,505.0,227.37,43.05,4.2969
1317.5,2460.1,180.44,68.98,3.8837
632.4,171.3,73.83,63.63,3.8837
979.8,2757.4,212.61,53.95,3.869
1331.3,513.8,313.95,86.78,3.8154
1317.1,534.4,179.82,66.53,3.5887
714.1,2843.0,276.68,63.46,3.3294
1111.9,2537.5,31.82,81.47,3.2931
976.8,479.6,324.67,81.3,3.0279
859.7,2910.9,243.54,41.29,2.8975
1090.0,2834.5,0.48,76.57,2.8215
1114.4,2886.9,214.8,51.27,2.7393
1203.7,589.2,181.23,50.83,2.6413
211.0,162.8,33.88,59.99,2.3017
1198.5,1258.8,320.76,62.81,1.1454
224.4,1982.3,222.32,37.02,-0.5559
