NORTHING,EASTING,AZIMUTH,DIP,BO_GAIN
597.8,1275.0,77.26,52.02,13.6519
803.8,1068.1,105.91,62.18,11.897
451.8,818.7,70.4,73.37,11.7957
513.1,1022.2,68.03,55.17,10.1394
576.5,2014.1,296.54,42.86,10.1371
217.5,2557.4,115.22,42.88,9.8899
663.0,2133.0,270.48,61.57,9.8435
1038.6,1781.2,165.41,62.96,9.2224
585.7,1388.0,27.42,38.55,9.1218
746.6,1997.7,243.81,35.24,9.0562
902.6,1908.6,240.47,48.52,9.0431
376.4,1246.9,344.36,57.39,8.6231
227.9,2773.2,156.27,35.89,8.5573
968.1,2387.5,238.27,66.9,8.5487
754.6,1335.2,103.27,59.4,8.4853
450.2,2920.5,188.88,46.01,8.3721
825.0,1430.5,120.41,40.46,8.3674
1170.7,1824.4,172.0,71.32,8.2585
708.7,2150.5,12.04,62.94,7.9966
1111.1,1489.4,157.85,60.29,7.9953
714.8,1527.4,263.8,32.69,7.946
1049.0,2073.7,241.26,66.46,7.6089
362.2,1305.8,28.12,47.81,7.4648
1333.0,1212.6,184.92,79.8,7.3691
1014.0,1216.0,105.21,30.89,7.1256
509.0,1371.6,267.19,84.84,7.0879
1182.8,1185.2,142.03,72.42,7.077
1196.8,1957.6,112.98,57.82,7.0027
449.6,2483.7,135.48,69.07,6.9757
890.5,1758.6,90.44,83.98,6.9168
1265.0,2371.0,195.38,54.83,6.9162
851.7,2175.8,227.29,60.15,6.8487
1527.7,2345.0,190.99,78.47,6.8028
732.5,1322.2,260.86,60.59,6.7768
827.1,2312.1,347.08,43.08,6.758
740.4,1928.5,41.92,73.32,6.7567
1576.0,2479.3,206.1,88.73,6.6745
1071.1,2037.4,65.04,62.64,6.6407
959.3,2001.8,61.17,70.43,6.5806
408.5,1723.0,286.26,88.96,6.497
1262.9,2895.1,271.41,69.61,6.3882
1732.0,2568.3,209.44,68.42,6.3567
697.4,1774.4,76.29,68.26,6.3517
1326.9,2631.7,252.91,75.52,6.3153
1025.0,1894.6,166.07,68.9,6.2594
1413.4,2395.7,214.01,42.47,6.239
1286.7,2209.4,153.54,56.29,6.1901
594.7,1856.2,24.74,70.66,6.1643
843.8,1396.9,232.47,79.53,6.1615
698.3,718.0,113.38,88.51,6.1046
1545.2,2086.1,181.32,86.24,6.072
930.1,907.1,115.14,60.44,6.0416
1237.4,2679.3,276.06,51.17,5.9981
903.2,2527.6,298.61,77.51,5.8691
1242.5,1975.1,214.54,59.19,5.8377
243.3,235.0,246.53,50.0,5.7368
369.7,687.9,87.01,61.38,5.7345
774.2,2569.0,252.77,65.1,5.63
853.8,251.5,3.96,66.52,5.6144
1268.3,973.5,138.43,71.82,5.5165
1274.6,519.3,226.05,79.39,5.4465
1761.6,1209.9,168.4,84.79,5.4414
794.6,436.4,347.96,65.49,5.3006
1611.5,1193.4,204.26,61.93,5.2281
233.8,2053.9,332.93,57.83,5.1916
1055.0,1231.4,3.65,84.95,5.1469
1048.6,855.0,118.3,68.94,5.0854
1543.7,2878.3,253.61,70.01,5.0603
141.6,2161.4,95.01,38.33,4.9655
1485.6,1222.2,200.57,57.1,4.9425
1091.9,2745.8,244.16,83.58,4.9361
1218.7,1660.6,99.32,55.22,4.9333
1133.4,319.0,217.75,79.5,4.9128
601.1,2683.4,312.8,61.51,4.8911
1076.9,665.9,252.95,74.97,4.8633
1084.0,476.2,238.1,72.96,4.8206
1702.8,2095.6,170.95,57.55,4.7768
1662.2,2207.0,159.74,78.16,4.7515
938.9,500.8,296.81,71.26,4.6441
1471.8,1022.8,143.35,81.31,4.561
1676.1,1438.0,199.07,80.99,4.4152
245.8,587.2,46.67,79.73,4.3854
1361.7,381.6,118.74,60.1,4.3455
714.1,2843.0,276.68,63.46,4.2996
1513.1,653.6,214.45,77.7,4.2891
1506.8,488.5,183.08,75.75,4.2722
678.3,180.9,331.35,76.55,4.2369
983.3,203.9,247.98,65.32,4.2054
497.7,2667.0,163.04,47.09,4.1578
1262.5,320.0,106.26,58.96,4.0505
904.9,425.8,135.13,43.12,4.0301
194.6,2258.0,298.3,38.94,4.0296
1593.8,264.2,174.16,81.15,3.8804
1045.6,676.2,94.31,45.01,3.86
833.0,674.8,125.42,66.61,3.6644
223.8,2421.1,316.76,65.68,3.6518
1747.0,707.7,109.95,84.18,3.6169
1602.3,2707.4,215.33,55.11,3.5012
1767.4,1066.0,152.4,74.85,3.426
1584.4,794.0,101.69,74.6,3.4177
221.2,285.0,45.18,62.37,3.3164
1745.8,531.7,196.35,69.05,3.2279
409.5,181.9,87.67,70.48,3.187
467.9,793.0,262.4,83.08,3.1737
1017.7,546.7,98.79,72.01,3.1357
262.5,691.3,344.09,49.38,2.9615
245.0,2342.3,38.06,69.39,2.8516
1786.2,2835.5,216.65,75.25,2.7549
