x,y,z,DENSITY,MAGSUS
61.0,61.0,-25.0,0.5,0.1
61.0,61.0,-75.0,0.5,0.1
61.0,61.0,-125.0,0.5,0.1
61.0,61.0,-175.0,0.5003631829496191,0.10007263658992382
61.0,61.0,-225.0,0.5006355701622079,0.1001271140324416
61.0,61.0,-275.0,0.5002723872125888,0.10005447744251778
61.0,61.0,-325.0,0.5,0.1
61.0,61.0,-375.0,0.5,0.1
61.0,61.0,-425.0,0.5,0.1
61.0,61.0,-475.0,0.5,0.1
61.0,61.0,-525.0,0.5,0.1
61.0,61.0,-575.0,0.5,0.1
61.0,61.0,-625.0,0.5,0.1
61.0,61.0,-675.0,0.5,0.1
61.0,61.0,-725.0,0.5,0.1
61.0,61.0,-775.0,0.5,0.1
183.0,61.0,-25.0,0.5,0.1
183.0,61.0,-75.0,0.5,0.1
183.0,61.0,-125.0,0.5,0.1
183.0,61.0,-175.0,0.5003631829496191,0.10007263658992382
183.0,61.0,-225.0,0.5006355701622079,0.1001271140324416
183.0,61.0,-275.0,0.5002723872125888,0.10005447744251778
183.0,61.0,-325.0,0.5,0.1
183.0,61.0,-375.0,0.5,0.1
183.0,61.0,-425.0,0.5,0.1
183.0,61.0,-475.0,0.5,0.1
183.0,61.0,-525.0,0.5,0.1
183.0,61.0,-575.0,0.5,0.1
183.0,61.0,-625.0,0.5,0.1
183.0,61.0,-675.0,0.5,0.1
183.0,61.0,-725.0,0.5,0.1
183.0,61.0,-775.0,0.5,0.1
305.0,61.0,-25.0,0.5,0.1
305.0,61.0,-75.0,0.5,0.1
305.0,61.0,-125.0,0.5,0.1
305.0,61.0,-175.0,0.5003631829496191,0.10007263658992382
305.0,61.0,-225.0,0.5006355701622079,0.1001271140324416
305.0,61.0,-275.0,0.5002723872125888,0.10005447744251778
305.0,61.0,-325.0,0.5,0.1
305.0,61.0,-375.0,0.5,0.1
305.0,61.0,-425.0,0.5,0.1
305.0,61.0,-475.0,0.5,0.1
305.0,61.0,-525.0,0.5,0.1
305.0,61.0,-575.0,0.5,0.1
305.0,61.0,-625.0,0.5,0.1
305.0,61.0,-675.0,0.5,0.1
305.0,61.0,-725.0,0.5,0.1
305.0,61.0,-775.0,0.5,0.1
427.0,61.0,-25.0,0.5,0.1
427.0,61.0,-75.0,0.5,0.1
427.0,61.0,-125.0,0.5,0.1
427.0,61.0,-175.0,0.5003631829496191,0.10007263658992382
427.0,61.0,-225.0,0.5006355701622079,0.1001271140324416
427.0,61.0,-275.0,0.5002723872125888,0.10005447744251778
427.0,61.0,-325.0,0.5,0.1
427.0,61.0,-375.0,0.5,0.1
427.0,61.0,-425.0,0.5,0.1
427.0,61.0,-475.0,0.5,0.1
427.0,61.0,-525.0,0.5,0.1
427.0,61.0,-575.0,0.5,0.1
427.0,61.0,-625.0,0.5,0.1
427.0,61.0,-675.0,0.5,0.1
427.0,61.0,-725.0,0.5,0.1
427.0,61.0,-775.0,0.5,0.1
549.0,61.0,-25.0,0.5,0.1
549.0,61.0,-75.0,0.5,0.1
549.0,61.0,-125.0,0.5,0.1
549.0,61.0,-175.0,0.5003631829496191,0.10007263658992382
549.0,61.0,-225.0,0.5006355701622079,0.1001271140324416
549.0,61.0,-275.0,0.5002723872125888,0.10005447744251778
549.0,61.0,-325.0,0.5,0.1
549.0,61.0,-375.0,0.5,0.1
549.0,61.0,-425.0,0.5,0.1
549.0,61.0,-475.0,0.5,0.1
549.0,61.0,-525.0,0.5,0.1
549.0,61.0,-575.0,0.5,0.1
549.0,61.0,-625.0,0.5,0.1
549.0,61.0,-675.0,0.5,0.1
549.0,61.0,-725.0,0.5,0.1
549.0,61.0,-775.0,0.5,0.1
671.0,61.0,-25.0,0.5,0.1
671.0,61.0,-75.0,0.5,0.1
671.0,61.0,-125.0,0.5,0.1
671.0,61.0,-175.0,0.5003631829496191,0.10007263658992382
671.0,61.0,-225.0,0.5006355701622079,0.1001271140324416
671.0,61.0,-275.0,0.5002723872125888,0.10005447744251778
671.0,61.0,-325.0,0.5,0.1
671.0,61.0,-375.0,0.5,0.1
671.0,61.0,-425.0,0.5,0.1
671.0,61.0,-475.0,0.5,0.1
671.0,61.0,-525.0,0.5,0.1
671.0,61.0,-575.0,0.5,0.1
671.0,61.0,-625.0,0.5,0.1
