x,y,z,DENSITY,MAGSUS,SiteID
671.0,427.0,-25.0,0.1,0.020000000000000004,SiteID_671.0427.0
671.0,427.0,-75.0,0.1,0.020000000000000004,SiteID_671.0427.0
671.0,427.0,-125.0,0.1,0.020000000000000004,SiteID_671.0427.0
671.0,427.0,-175.0,0.1,0.020000000000000004,SiteID_671.0427.0
671.0,427.0,-225.0,0.1,0.020000000000000004,SiteID_671.0427.0
671.0,427.0,-275.0,0.1,0.020000000000000004,SiteID_671.0427.0
671.0,427.0,-325.0,0.1,0.020000000000000004,SiteID_671.0427.0
671.0,427.0,-375.0,0.1,0.020000000000000004,SiteID_671.0427.0
671.0,427.0,-425.0,0.1,0.020000000000000004,SiteID_671.0427.0
671.0,427.0,-475.0,0.1,0.020000000000000004,SiteID_671.0427.0
671.0,427.0,-525.0,0.1,0.020000000000000004,SiteID_671.0427.0
671.0,427.0,-575.0,0.1,0.020000000000000004,SiteID_671.0427.0
671.0,427.0,-625.0,0.1,0.020000000000000004,SiteID_671.0427.0
671.0,427.0,-675.0,0.1,0.020000000000000004,SiteID_671.0427.0
671.0,427.0,-725.0,0.1,0.020000000000000004,SiteID_671.0427.0
671.0,427.0,-775.0,0.1,0.020000000000000004,SiteID_671.0427.0
2257.0,427.0,-25.0,0.1,0.020000000000000004,SiteID_2257.0427.0
2257.0,427.0,-75.0,0.1,0.020000000000000004,SiteID_2257.0427.0
2257.0,427.0,-125.0,0.1,0.020000000000000004,SiteID_2257.0427.0
2257.0,427.0,-175.0,0.1,0.020000000000000004,SiteID_2257.0427.0
2257.0,427.0,-225.0,0.1,0.020000000000000004,SiteID_2257.0427.0
2257.0,427.0,-275.0,0.1,0.020000000000000004,SiteID_2257.0427.0
2257.0,427.0,-325.0,0.1,0.020000000000000004,SiteID_2257.0427.0
2257.0,427.0,-375.0,0.1,0.020000000000000004,SiteID_2257.0427.0
2257.0,427.0,-425.0,0.1,0.020000000000000004,SiteID_2257.0427.0
2257.0,427.0,-475.0,0.1,0.020000000000000004,SiteID_2257.0427.0
2257.0,427.0,-525.0,0.1,0.020000000000000004,SiteID_2257.0427.0
2257.0,427.0,-575.0,0.1,0.020000000000000004,SiteID_2257.0427.0
2257.0,427.0,-625.0,0.1,0.020000000000000004,SiteID_2257.0427.0
2257.0,427.0,-675.0,0.1,0.020000000000000004,SiteID_2257.0427.0
2257.0,427.0,-725.0,0.1,0.020000000000000004,SiteID_2257.0427.0
2257.0,427.0,-775.0,0.1,0.020000000000000004,SiteID_2257.0427.0
671.0,1647.0,-25.0,1.0,0.2,SiteID_671.01647.0
671.0,1647.0,-75.0,1.0,0.2,SiteID_671.01647.0
671.0,1647.0,-125.0,1.0,0.2,SiteID_671.01647.0
671.0,1647.0,-175.0,1.0,0.2,SiteID_671.01647.0
671.0,1647.0,-225.0,0.1,0.020000000000000004,SiteID_671.01647.0
671.0,1647.0,-275.0,0.1,0.020000000000000004,SiteID_671.01647.0
671.0,1647.0,-325.0,0.1,0.020000000000000004,SiteID_671.01647.0
671.0,1647.0,-375.0,0.1,0.020000000000000004,SiteID_671.01647.0
671.0,1647.0,-425.0,0.1,0.020000000000000004,SiteID_671.01647.0
671.0,1647.0,-475.0,0.1,0.020000000000000004,SiteID_671.01647.0
671.0,1647.0,-525.0,0.1,0.020000000000000004,SiteID_671.01647.0
671.0,1647.0,-575.0,0.1,0.020000000000000004,SiteID_671.01647.0
671.0,1647.0,-625.0,0.1,0.020000000000000004,SiteID_671.01647.0
671.0,1647.0,-675.0,0.1,0.020000000000000004,SiteID_671.01647.0
671.0,1647.0,-725.0,0.1,0.020000000000000004,SiteID_671.01647.0
671.0,1647.0,-775.0,0.1,0.020000000000000004,SiteID_671.01647.0
2257.0,1647.0,-25.0,1.0,0.2,SiteID_2257.01647.0
2257.0,1647.0,-75.0,1.0,0.2,SiteID_2257.01647.0
2257.0,1647.0,-125.0,1.0,0.2,SiteID_2257.01647.0
2257.0,1647.0,-175.0,1.0,0.2,SiteID_2257.01647.0
2257.0,1647.0,-225.0,0.1,0.020000000000000004,SiteID_2257.01647.0
2257.0,1647.0,-275.0,0.1,0.020000000000000004,SiteID_2257.01647.0
2257.0,1647.0,-325.0,0.1,0.020000000000000004,SiteID_2257.01647.0
2257.0,1647.0,-375.0,0.1,0.020000000000000004,SiteID_2257.01647.0
2257.0,1647.0,-425.0,0.1,0.020000000000000004,SiteID_2257.01647.0
2257.0,1647.0,-475.0,0.1,0.020000000000000004,SiteID_2257.01647.0
2257.0,1647.0,-525.0,0.1,0.020000000000000004,SiteID_2257.01647.0
2257.0,1647.0,-575.0,0.1,0.020000000000000004,SiteID_2257.01647.0
2257.0,1647.0,-625.0,0.1,0.020000000000000004,SiteID_2257.01647.0
2257.0,1647.0,-675.0,0.1,0.020000000000000004,SiteID_2257.01647.0
2257.0,1647.0,-725.0,0.1,0.020000000000000004,SiteID_2257.01647.0
2257.0,1647.0,-775.0,0.1,0.020000000000000004,SiteID_2257.01647.0
